category,sub_category,block,Option1,Option2,Option3,Option4
ATTITUDE,ATTITUDE_1,1,intriguing,thrilling,surprising,incredible
ATTITUDE,ATTITUDE_1,2,astonishing,surprising,notable / noteworthy,incredible
ATTITUDE,ATTITUDE_1,3,unremarkable,remarkable,thrilling,notable / noteworthy
ATTITUDE,ATTITUDE_1,4,phenomenal,unremarkable,notable / noteworthy,incredible
ATTITUDE,ATTITUDE_1,5,phenomenal,intriguing,notable / noteworthy,confident
ATTITUDE,ATTITUDE_1,6,astonishing,unremarkable,intriguing,remarkable
ATTITUDE,ATTITUDE_1,7,astonishing,phenomenal,intriguing,thrilling
ATTITUDE,ATTITUDE_1,8,unremarkable,intriguing,confident,incredible
ATTITUDE,ATTITUDE_1,9,astonishing,unremarkable,surprising,confident
ATTITUDE,ATTITUDE_1,10,remarkable,thrilling,confident,incredible
ATTITUDE,ATTITUDE_1,11,phenomenal,remarkable,surprising,confident
ATTITUDE,ATTITUDE_1,12,intriguing,remarkable,surprising,notable / noteworthy
ATTITUDE,ATTITUDE_1,13,phenomenal,unremarkable,thrilling,surprising
ATTITUDE,ATTITUDE_1,14,astonishing,thrilling,notable / noteworthy,confident
ATTITUDE,ATTITUDE_1,15,astonishing,phenomenal,remarkable,incredible
ATTITUDE,ATTITUDE_2,1,fascinating,exciting,superb,impressive
ATTITUDE,ATTITUDE_2,2,interesting,superb,extraordinary,impressive
ATTITUDE,ATTITUDE_2,3,unremarkable,appealing,exciting,extraordinary
ATTITUDE,ATTITUDE_2,4,adequate,unremarkable,extraordinary,impressive
ATTITUDE,ATTITUDE_2,5,adequate,fascinating,extraordinary,rewarding
ATTITUDE,ATTITUDE_2,6,interesting,unremarkable,fascinating,appealing
ATTITUDE,ATTITUDE_2,7,interesting,adequate,fascinating,exciting
ATTITUDE,ATTITUDE_2,8,unremarkable,fascinating,rewarding,impressive
ATTITUDE,ATTITUDE_2,9,interesting,unremarkable,superb,rewarding
ATTITUDE,ATTITUDE_2,10,appealing,exciting,rewarding,impressive
ATTITUDE,ATTITUDE_2,11,adequate,appealing,superb,rewarding
ATTITUDE,ATTITUDE_2,12,fascinating,appealing,superb,extraordinary
ATTITUDE,ATTITUDE_2,13,adequate,unremarkable,exciting,superb
ATTITUDE,ATTITUDE_2,14,interesting,exciting,extraordinary,rewarding
ATTITUDE,ATTITUDE_2,15,interesting,adequate,appealing,impressive
ATTITUDE,ATTITUDE_3,1,outstanding,excellent,attractive,phenomenal
ATTITUDE,ATTITUDE_3,2,outstanding,attractive,phenomenal,adequate
ATTITUDE,ATTITUDE_3,3,outstanding,excellent,attractive,adequate
ATTITUDE,ATTITUDE_3,4,outstanding,excellent,phenomenal,adequate
ATTITUDE,ATTITUDE_3,5,excellent,attractive,phenomenal,adequate
IMPORTANCE,IMPORTANCE_1,1,chief,irrelevant,foundational,urgent
IMPORTANCE,IMPORTANCE_1,2,paramount,irrelevant,momentous,ultimate
IMPORTANCE,IMPORTANCE_1,3,major,irrelevant,profound,decisive
IMPORTANCE,IMPORTANCE_1,4,strategic,irrelevant,important,pivotal
IMPORTANCE,IMPORTANCE_1,5,momentous,pivotal,foundational,decisive
IMPORTANCE,IMPORTANCE_1,6,major,paramount,important,foundational
IMPORTANCE,IMPORTANCE_1,7,paramount,profound,pivotal,urgent
IMPORTANCE,IMPORTANCE_1,8,chief,momentous,important,profound
IMPORTANCE,IMPORTANCE_1,9,ultimate,important,decisive,urgent
IMPORTANCE,IMPORTANCE_1,10,major,chief,ultimate,pivotal
IMPORTANCE,IMPORTANCE_1,11,major,strategic,momentous,urgent
IMPORTANCE,IMPORTANCE_1,12,strategic,chief,paramount,decisive
IMPORTANCE,IMPORTANCE_1,13,strategic,ultimate,profound,foundational
IMPORTANCE,IMPORTANCE_2,1,relevant,pressing,influential,necessary
IMPORTANCE,IMPORTANCE_2,2,irrelevant,pressing,essential,vital
IMPORTANCE,IMPORTANCE_2,3,high-priority,pressing,significant,crucial
IMPORTANCE,IMPORTANCE_2,4,critical,pressing,invaluable,prime
IMPORTANCE,IMPORTANCE_2,5,essential,prime,influential,crucial
IMPORTANCE,IMPORTANCE_2,6,high-priority,irrelevant,invaluable,influential
IMPORTANCE,IMPORTANCE_2,7,irrelevant,significant,prime,necessary
IMPORTANCE,IMPORTANCE_2,8,relevant,essential,invaluable,significant
IMPORTANCE,IMPORTANCE_2,9,vital,invaluable,crucial,necessary
IMPORTANCE,IMPORTANCE_2,10,high-priority,relevant,vital,prime
IMPORTANCE,IMPORTANCE_2,11,high-priority,critical,essential,necessary
IMPORTANCE,IMPORTANCE_2,12,critical,relevant,irrelevant,crucial
IMPORTANCE,IMPORTANCE_2,13,critical,vital,significant,influential
IMPORTANCE,IMPORTANCE_3,1,key,compelling,imperative,relevant
IMPORTANCE,IMPORTANCE_3,2,fundamental,compelling,consequential,indispensable
IMPORTANCE,IMPORTANCE_3,3,fundamental,compelling,imperative,relevant
IMPORTANCE,IMPORTANCE_3,4,compelling,consequential,imperative,paramount
IMPORTANCE,IMPORTANCE_3,5,fundamental,key,imperative,indispensable
IMPORTANCE,IMPORTANCE_3,6,key,consequential,paramount,relevant
IMPORTANCE,IMPORTANCE_3,7,compelling,consequential,indispensable,relevant
IMPORTANCE,IMPORTANCE_3,8,fundamental,key,compelling,paramount
IMPORTANCE,IMPORTANCE_3,9,imperative,indispensable,paramount,relevant
IMPORTANCE,IMPORTANCE_3,10,fundamental,key,consequential,relevant
IMPORTANCE,IMPORTANCE_3,11,key,consequential,imperative,indispensable
IMPORTANCE,IMPORTANCE_3,12,fundamental,consequential,imperative,paramount
IMPORTANCE,IMPORTANCE_3,13,fundamental,indispensable,paramount,relevant
IMPORTANCE,IMPORTANCE_3,14,key,compelling,indispensable,paramount
NOVELTY,NOVELTY_1,1,revolutionary,paradigm-shifting,incomparable,trailblazing
NOVELTY,NOVELTY_1,2,unoriginal,paradigm-shifting,fresh,up-and-coming
NOVELTY,NOVELTY_1,3,unrivaled,paradigm-shifting,game-changing,never-before-seen
NOVELTY,NOVELTY_1,4,novel,paradigm-shifting,newest / new,cutting-edge
NOVELTY,NOVELTY_1,5,fresh,cutting-edge,incomparable,never-before-seen
NOVELTY,NOVELTY_1,6,unrivaled,unoriginal,newest / new,incomparable
NOVELTY,NOVELTY_1,7,unoriginal,game-changing,cutting-edge,trailblazing
NOVELTY,NOVELTY_1,8,revolutionary,fresh,newest / new,game-changing
NOVELTY,NOVELTY_1,9,up-and-coming,newest / new,never-before-seen,trailblazing
NOVELTY,NOVELTY_1,10,unrivaled,revolutionary,up-and-coming,cutting-edge
NOVELTY,NOVELTY_1,11,unrivaled,novel,fresh,trailblazing
NOVELTY,NOVELTY_1,12,novel,revolutionary,unoriginal,never-before-seen
NOVELTY,NOVELTY_1,13,novel,up-and-coming,game-changing,incomparable
NOVELTY,NOVELTY_2,1,emerging,unique,standard,latest
NOVELTY,NOVELTY_2,2,unequaled,unique,ground-breaking,unoriginal
NOVELTY,NOVELTY_2,3,one-of-a-kind,unique,creative,up-to-date
NOVELTY,NOVELTY_2,4,inventive,unique,first,unheard-of
NOVELTY,NOVELTY_2,5,ground-breaking,unheard-of,standard,up-to-date
NOVELTY,NOVELTY_2,6,one-of-a-kind,unequaled,first,standard
NOVELTY,NOVELTY_2,7,unequaled,creative,unheard-of,latest
NOVELTY,NOVELTY_2,8,emerging,ground-breaking,first,creative
NOVELTY,NOVELTY_2,9,unoriginal,first,up-to-date,latest
NOVELTY,NOVELTY_2,10,one-of-a-kind,emerging,unoriginal,unheard-of
NOVELTY,NOVELTY_2,11,one-of-a-kind,inventive,ground-breaking,latest
NOVELTY,NOVELTY_2,12,inventive,emerging,unequaled,up-to-date
NOVELTY,NOVELTY_2,13,inventive,unoriginal,creative,standard
NOVELTY,NOVELTY_3,1,revolutionary,pioneering,original,unparalleled
NOVELTY,NOVELTY_3,2,recent,original,innovative,unparalleled
NOVELTY,NOVELTY_3,3,unprecedented,standard,pioneering,innovative
NOVELTY,NOVELTY_3,4,imaginative,unprecedented,innovative,unparalleled
NOVELTY,NOVELTY_3,5,imaginative,revolutionary,innovative,radical
NOVELTY,NOVELTY_3,6,recent,unprecedented,revolutionary,standard
NOVELTY,NOVELTY_3,7,recent,imaginative,revolutionary,pioneering
NOVELTY,NOVELTY_3,8,unprecedented,revolutionary,radical,unparalleled
NOVELTY,NOVELTY_3,9,recent,unprecedented,original,radical
NOVELTY,NOVELTY_3,10,standard,pioneering,radical,unparalleled
NOVELTY,NOVELTY_3,11,imaginative,standard,original,radical
NOVELTY,NOVELTY_3,12,revolutionary,standard,original,innovative
NOVELTY,NOVELTY_3,13,imaginative,unprecedented,pioneering,original
NOVELTY,NOVELTY_3,14,recent,pioneering,innovative,radical
NOVELTY,NOVELTY_3,15,recent,imaginative,standard,unparalleled
PROBLEM,PROBLEM_1,1,grim,minor,unmet,frightening
PROBLEM,PROBLEM_1,2,catastrophic,minor,formidable,elusive
PROBLEM,PROBLEM_1,3,dismal,minor,serious,worrying
PROBLEM,PROBLEM_1,4,hopeless,minor,devastating,perilous
PROBLEM,PROBLEM_1,5,formidable,perilous,unmet,worrying
PROBLEM,PROBLEM_1,6,dismal,catastrophic,devastating,unmet
PROBLEM,PROBLEM_1,7,catastrophic,serious,perilous,frightening
PROBLEM,PROBLEM_1,8,grim,formidable,devastating,serious
PROBLEM,PROBLEM_1,9,elusive,devastating,worrying,frightening
PROBLEM,PROBLEM_1,10,dismal,grim,elusive,perilous
PROBLEM,PROBLEM_1,11,dismal,hopeless,formidable,frightening
PROBLEM,PROBLEM_1,12,hopeless,grim,catastrophic,worrying
PROBLEM,PROBLEM_1,13,hopeless,elusive,serious,unmet
PROBLEM,PROBLEM_2,1,shocking,scarce,ruinous,alarming
PROBLEM,PROBLEM_2,2,miserable,scarce,intimidating,unanswered
PROBLEM,PROBLEM_2,3,dire,scarce,inconvenient,disasterous
PROBLEM,PROBLEM_2,4,bleak,scarce,minor,daunting
PROBLEM,PROBLEM_2,5,intimidating,daunting,ruinous,disasterous
PROBLEM,PROBLEM_2,6,dire,miserable,minor,ruinous
PROBLEM,PROBLEM_2,7,miserable,inconvenient,daunting,alarming
PROBLEM,PROBLEM_2,8,shocking,intimidating,minor,inconvenient
PROBLEM,PROBLEM_2,9,unanswered,minor,disasterous,alarming
PROBLEM,PROBLEM_2,10,dire,shocking,unanswered,daunting
PROBLEM,PROBLEM_2,11,dire,bleak,intimidating,alarming
PROBLEM,PROBLEM_2,12,bleak,shocking,miserable,disasterous
PROBLEM,PROBLEM_2,13,bleak,unanswered,inconvenient,ruinous
PROBLEM,PROBLEM_3,1,desperate,stark,catastrophic,inconvenient
PROBLEM,PROBLEM_3,2,grave,stark,troubling,catastrophic
PROBLEM,PROBLEM_3,3,disturbing,desperate,troubling,catastrophic
PROBLEM,PROBLEM_3,4,disturbing,desperate,grave,stark
PROBLEM,PROBLEM_3,5,disturbing,deadly,catastrophic,inconvenient
PROBLEM,PROBLEM_3,6,dramatic,deadly,troubling,catastrophic
PROBLEM,PROBLEM_3,7,dramatic,stark,catastrophic,inconvenient
PROBLEM,PROBLEM_3,8,desperate,deadly,stark,troubling
PROBLEM,PROBLEM_3,9,disturbing,grave,troubling,inconvenient
PROBLEM,PROBLEM_3,10,dramatic,grave,troubling,inconvenient
PROBLEM,PROBLEM_3,11,disturbing,dramatic,deadly,stark
PROBLEM,PROBLEM_3,12,desperate,dramatic,grave,deadly
PROBLEM,PROBLEM_3,13,desperate,deadly,troubling,inconvenient
PROBLEM,PROBLEM_3,14,disturbing,desperate,dramatic,inconvenient
PROBLEM,PROBLEM_3,15,disturbing,grave,deadly,catastrophic
PROBLEM,PROBLEM_3,16,disturbing,dramatic,stark,troubling
PROBLEM,PROBLEM_3,17,desperate,dramatic,grave,catastrophic
PROBLEM,PROBLEM_3,18,grave,deadly,stark,inconvenient
QUALITY,QUALITY_1,1,motivated,unqualified,ambitious,prestigious
QUALITY,QUALITY_1,2,exceptional,unqualified,renowned,gifted
QUALITY,QUALITY_1,3,pre-eminent,unqualified,successful,cohessive
QUALITY,QUALITY_1,4,committed,unqualified,vibrant,credentialed
QUALITY,QUALITY_1,5,renowned,credentialed,ambitious,cohessive
QUALITY,QUALITY_1,6,pre-eminent,exceptional,vibrant,ambitious
QUALITY,QUALITY_1,7,exceptional,successful,credentialed,prestigious
QUALITY,QUALITY_1,8,motivated,renowned,vibrant,successful
QUALITY,QUALITY_1,9,gifted,vibrant,cohessive,prestigious
QUALITY,QUALITY_1,10,pre-eminent,motivated,gifted,credentialed
QUALITY,QUALITY_1,11,pre-eminent,committed,renowned,prestigious
QUALITY,QUALITY_1,12,committed,motivated,exceptional,cohessive
QUALITY,QUALITY_1,13,committed,gifted,successful,ambitious
QUALITY,QUALITY_2,1,adequate,qualified,veteran,energetic
QUALITY,QUALITY_2,2,unqualified,qualified,supportive,foremost
QUALITY,QUALITY_2,3,certified,qualified,leading,holistic
QUALITY,QUALITY_2,4,distinguished,qualified,promising,established
QUALITY,QUALITY_2,5,supportive,established,veteran,holistic
QUALITY,QUALITY_2,6,certified,unqualified,promising,veteran
QUALITY,QUALITY_2,7,unqualified,leading,established,energetic
QUALITY,QUALITY_2,8,adequate,supportive,promising,leading
QUALITY,QUALITY_2,9,foremost,promising,holistic,energetic
QUALITY,QUALITY_2,10,certified,adequate,foremost,established
QUALITY,QUALITY_2,11,certified,distinguished,supportive,energetic
QUALITY,QUALITY_2,12,distinguished,adequate,unqualified,holistic
QUALITY,QUALITY_2,13,distinguished,foremost,leading,veteran
QUALITY,QUALITY_3,1,adequate,thriving,premier,lively
QUALITY,QUALITY_3,2,talented,premier,skilled,lively
QUALITY,QUALITY_3,3,exceptional,senior,thriving,skilled
QUALITY,QUALITY_3,4,rising,exceptional,skilled,lively
QUALITY,QUALITY_3,5,rising,adequate,skilled,collegial
QUALITY,QUALITY_3,6,talented,exceptional,adequate,senior
QUALITY,QUALITY_3,7,talented,rising,adequate,thriving
QUALITY,QUALITY_3,8,exceptional,adequate,collegial,lively
QUALITY,QUALITY_3,9,talented,exceptional,premier,collegial
QUALITY,QUALITY_3,10,senior,thriving,collegial,lively
QUALITY,QUALITY_3,11,rising,senior,premier,collegial
QUALITY,QUALITY_3,12,adequate,senior,premier,skilled
QUALITY,QUALITY_3,13,rising,exceptional,thriving,premier
QUALITY,QUALITY_3,14,talented,thriving,skilled,collegial
QUALITY,QUALITY_3,15,talented,rising,senior,lively
QUALITY,QUALITY_4,1,longstanding,seasoned,experienced,unqualified
QUALITY,QUALITY_4,2,accomplished,experienced,integrative,unqualified
QUALITY,QUALITY_4,3,intellectual,reputable,seasoned,integrative
QUALITY,QUALITY_4,4,forward-thinking,intellectual,integrative,unqualified
QUALITY,QUALITY_4,5,forward-thinking,longstanding,integrative,exceptional
QUALITY,QUALITY_4,6,accomplished,intellectual,longstanding,reputable
QUALITY,QUALITY_4,7,accomplished,forward-thinking,longstanding,seasoned
QUALITY,QUALITY_4,8,intellectual,longstanding,exceptional,unqualified
QUALITY,QUALITY_4,9,accomplished,intellectual,experienced,exceptional
QUALITY,QUALITY_4,10,reputable,seasoned,exceptional,unqualified
